Loc,Initial,Germ,SurvWk11,Pods,NumPods,NumSeeds,Herbivory,Mat,MatL,MatDam,MatSire,Pat,PatL,PatDam,PatSire,Block,EarliestGerm,EarliestFlowPod
1.1.40,5,0,0,0,0,0,0,5D2,5D,B88A,B110E,12C1,12C,R85B,P71A,1,NA,NA
1.1.41,5,1,1,1,6,0,0,7E1,7E,130C,129B,14A1,14A,Y125E,R83F,1,176,222
1.1.42,5,0,0,0,0,0,0,16E1,16E,136A,356A,5D1,5D,B88A,B110E,1,NA,NA
1.1.43,3,1,1,0,0,0,1,18C1,18C,P64C,R83F,7A1,7A,P64D,B86B,1,161,NA
1.1.44,5,0,0,0,0,0,0,10C1,10C,P83E,B112F,11E2,11E,130A,139A,1,NA,NA
1.1.45,5,0,0,0,0,0,0,20A3,20A,P83B,P62I,16D4,16D,337A,120B,1,NA,NA
1.1.46,5,2,2,0,0,0,1,10B1,10B,P38D,R81E,19D2,19D,B113A,R84A,1,161,NA
1.1.47,5,3,3,1,28,151,0,10B1,10B,P38D,R81E,13A1,13A,P71D,P29I,1,161,208
1.1.48,5,1,1,0,0,0,0,1D1,1D,P31C,P63A,9D3,9D,P38C,R80H,1,161,NA
1.1.49,5,0,0,0,0,0,0,1D1,1D,P31C,P63A,7E2,7E,130C,129B,1,NA,NA
1.1.5,5,1,0,0,0,0,1,11C1,11C,R880,B45H,21A1,21A,P63L,B51C,1,161,NA
1.1.50,5,0,0,0,0,0,0,13E2,13E,R82K,Y123G,18C2,18C,P64C,R83F,1,NA,NA
1.1.51,5,0,0,0,0,0,0,2B1,2B,140A,356A,13B6,13B,P63B,Y123G,1,NA,NA
1.1.52,5,0,0,0,0,0,0,8B2,8B,P31M,P63A,19D4,19D,B113A,R84A,1,NA,NA
1.1.53,5,0,0,0,0,0,0,20A2,20A,P83B,P62I,2A5,2A,P64B,B88B,1,NA,NA
1.1.54,5,0,0,0,0,0,0,10B3,10B,P38D,R81E,19D4,19D,B113A,R84A,1,NA,NA
1.1.55,5,0,0,0,0,0,0,21A1,21A,P63L,B51C,11C1,11C,R880,B45H,1,NA,NA
1.1.6,5,1,1,1,2,0,0,3D1,3D,P27D,B22C,9C1,9C,122B,140B,1,161,222
1.1.7,5,2,2,0,0,0,1,2A4,2A,P64B,B88B,5A5,5A,P29D,P63G,1,161,NA
1.1.8,5,0,0,0,0,0,0,12C1,12C,R85B,P71A,5D3,5D,B88A,B110E,1,NA,NA
1.1.9,5,2,1,1,2,4,0,16D4,16D,337A,120B,20A3,20A,P83B,P62I,1,161,231
1.10.1,5,0,0,0,0,0,0,14A2,14A,Y125E,R83F,7E2,7E,130C,129B,1,NA,NA
1.10.2,5,0,0,0,0,0,0,18B2,18B,P62H,P71A,7E2,7E,130C,129B,1,NA,NA
1.10.3,5,0,0,0,0,0,0,21B4,21B,P62B,R85A,13C2,13C,331B,357B,1,NA,NA
1.10.4,5,0,0,0,0,0,0,5A6,5A,P29D,P63G,16D2,16D,337A,120B,1,NA,NA
1.10.5,2,0,0,0,0,0,0,2C1,2C,122B,136,1E1,1E,31A,11A,1,NA,NA
1.10.6,5,0,0,0,0,0,0,20A2,20A,P83B,P62I,16D2,16D,337A,120B,1,NA,NA
1.10.7,5,1,1,0,0,0,0,2B1,2B,140A,356A,4B1,4B,P29G,B22C,1,173,NA
1.10.8,4,0,0,0,0,0,0,4C1,4C,P29C,R81E,11B1,11B,R84E,R81D,1,NA,NA
1.2.1,5,0,0,0,0,0,0,11C2,11C,R880,B45H,13B7,13B,P63B,Y123G,1,NA,NA
1.2.10,5,1,1,1,1,1,0,7A2,7A,P64D,B86B,2A4,2A,P64B,B88B,1,173,215
1.2.11,5,0,0,0,0,0,0,5A3,5A,P29D,P63G,13B5,13B,P63B,Y123G,1,NA,NA
1.2.12,5,0,0,0,0,0,0,2A1,2A,P64B,B88B,16C1,16C,331A,32A,1,NA,NA
1.2.13,5,1,1,1,2,13,0,1B2,1B,14C,122C,13A2,13A,P71D,P29I,1,173,222
1.2.14,5,0,0,0,0,0,0,11C2,11C,R880,B45H,13B4,13B,P63B,Y123G,1,NA,NA
1.2.15,5,0,0,0,0,0,0,13E2,13E,R82K,Y123G,14B2,14B,P83I,P29I,1,NA,NA
1.2.16,5,0,0,0,0,0,0,20E2,20E,R88B,B86B,8B2,8B,P31M,P63A,1,NA,NA
1.2.17,5,0,0,0,0,0,0,6D1,6D,B22B,P27F,4B1,4B,P29G,B22C,1,NA,NA
1.2.18,5,5,4,1,106,154,0,18B3,18B,P62H,P71A,7E2,7E,130C,129B,1,152,215
1.2.19,5,4,3,1,16,53,0,18B2,18B,P62H,P71A,9D3,9D,P38C,R80H,1,152,215
1.2.2,5,0,0,0,0,0,0,1B2,1B,14C,122C,20E2,20E,R88B,B86B,1,NA,NA
1.2.21,5,0,0,0,0,0,0,7B1,7B,P64F,P29H,11D1,11D,140C,122C,1,NA,NA
1.2.22,5,4,4,1,11,43,0,13B4,13B,P63B,Y123G,2B1,2B,140A,356A,1,152,215
1.2.23,5,3,3,1,6,20,1,21A1,21A,P63L,B51C,11C2,11C,R880,B45H,1,152,212
1.2.24,5,3,2,1,16,137,0,5A1,5A,P29D,P63G,9C1,9C,122B,140B,1,152,215
1.2.25,5,0,0,0,0,0,0,20A2,20A,P83B,P62I,16D4,16D,337A,120B,1,NA,NA
1.2.26,5,0,0,0,0,0,0,3D1,3D,P27D,B22C,13B2,13B,P63B,Y123G,1,NA,NA
1.2.27,5,0,0,0,0,0,0,15D1,15D,R88H,B22C,11C1,11C,R880,B45H,1,NA,NA
1.2.28,5,1,1,1,5,20,0,6D4,6D,B22B,P27F,13B3,13B,P63B,Y123G,1,173,229
1.2.29,5,1,1,1,3,29,0,2A2,2A,P64B,B88B,2C1,2C,122B,136A,1,173,215
1.2.3,5,0,0,0,0,0,0,10B3,10B,P38D,R81E,11D1,11D,140C,122C,1,NA,NA
1.2.30,5,1,1,1,3,15,0,13C1,13C,331B,357B,8A1,8A,330A,139A,1,194,229
1.2.31,5,4,3,1,31,0,1,8C1,8C,140B,122B,20A2,20A,P83B,P62I,1,152,204
1.2.32,5,1,1,1,6,15,0,8D1,8D,378A,375A,8A1,8A,330A,139A,1,152,208
1.2.33,5,0,0,0,0,0,0,13C1,13C,331B,357B,21B3,21B,P62B,R85A,1,NA,NA
1.2.34,5,3,3,1,41,194,0,13B2,13B,P63B,Y123G,9D3,9D,P38C,R80H,1,152,208
1.2.35,5,2,2,1,8,32,0,18B3,18B,P62H,P71A,9D3,9D,P38C,R80H,1,152,222
1.2.36,5,0,0,0,0,0,0,5A4,5A,P29D,P63G,13B2,13B,P63B,Y123G,1,NA,NA
1.2.38,4,3,2,0,0,0,1,9D3,9D,P38C,R80H,1D1,1D,P31C,P63A,1,152,NA
1.2.39,5,0,0,0,0,0,0,5D3,5D,B88A,B110E,12C1,12C,R85B,P71A,1,NA,NA
1.2.40,5,0,0,0,0,0,0,8B1,8B,P31M,P63A,19D4,19D,B113A,R84A,1,NA,NA
1.2.41,5,1,1,0,0,0,0,14A2,14A,Y125E,R83F,9D3,9D,P38C,R80H,1,173,NA
1.2.42,5,4,4,1,10,86,1,18B3,18B,P62H,P71A,7E1,7E,130C,129B,1,152,222
1.2.43,5,0,0,0,0,0,0,16D2,16D,337A,120B,20A2,20A,P83B,P62I,1,NA,NA
1.2.44,5,3,3,1,18,0,1,5A5,5A,P29D,P63G,16D2,16D,337A,120B,1,152,215
1.2.45,3,1,1,1,6,13,0,19E1,19E,140B,356A,16C1,16C,331A,32A,1,152,222
1.2.46,5,1,1,1,11,28,0,10B1,10B,P38D,R81E,20E1,20E,R88B,B86B,1,152,215
1.2.47,5,4,4,1,50,156,0,13B6,13B,P63B,Y123G,11C1,11C,R880,B45H,1,152,215
1.2.48,5,0,0,0,0,0,0,14A1,14A,Y125E,R83F,9D3,9D,P38C,R80H,1,NA,NA
1.2.49,5,0,0,0,0,0,0,16D4,16D,337A,120B,7A1,7A,P64D,B86B,1,NA,NA
1.2.5,5,1,1,1,2,0,0,9C1,9C,122B,140B,5A2,5A,P29D,P63G,1,152,222
1.2.50,5,0,0,0,0,0,0,15C1,15C,P100D,B22C,13C1,13C,331B,357B,1,NA,NA
1.2.51,5,1,1,0,0,0,1,8B2,8B,P31M,P63A,19D1,19D,B113A,R84A,1,152,NA
1.2.52,5,1,1,1,4,23,0,7B3,7B,P64F,P29H,15D1,15D,R88H,B22C,1,152,215
1.2.53,5,2,2,0,0,0,1,2A4,2A,P64B,B88B,7A3,7A,P64D,B86B,1,152,NA
1.2.54,5,1,1,0,0,0,1,13B4,13B,P63B,Y123G,11C2,11C,R880,B45H,1,194,NA
1.2.55,5,0,0,0,0,0,0,2B1,2B,140A,356A,13B4,13B,P63B,Y123G,1,NA,NA
1.2.6,5,1,0,0,0,0,0,7A3,7A,P64D,B86B,2A4,2A,P64B,B88B,1,152,NA
1.2.7,5,3,3,1,6,30,0,9C1,9C,122B,140B,5A4,5A,P29D,P63G,1,173,215
1.2.8,5,2,2,1,1,6,0,11D1,11D,140C,122C,7B3,7B,P64F,P29H,1,173,215
1.2.9,5,1,1,1,5,21,0,2A5,2A,P64B,B88B,5A6,5A,P29D,P63G,1,152,219
1.3.1,5,0,0,0,0,0,0,19D4,19D,B113A,R84A,10B3,10B,P38D,R81E,1,NA,NA
1.3.10,5,1,1,1,6,25,0,5D2,5D,B88A,B110E,16E1,16E,136A,356A,1,148,208
1.3.11,5,1,1,1,5,17,0,10B3,10B,P38D,R81E,19D3,19D,B113A,R84A,1,148,220
1.3.13,5,0,0,0,0,0,0,6D5,6D,B22B,P27F,13B4,13B,P63B,Y123G,1,NA,NA
1.3.14,5,0,0,0,0,0,0,16D3,16D,337A,120B,20A1,20A,P83B,P62I,1,NA,NA
1.3.15,5,1,1,1,13,0,0,7B1,7B,P64F,P29H,15D2,15D,R88H,B22C,1,148,208
1.3.16,5,0,0,0,0,0,0,13C1,13C,331B,357B,21B4,21B,P62B,R85A,1,NA,NA
1.3.17,5,3,3,1,8,22,0,9C1,9C,122B,140B,5A1,5A,P29D,P63G,1,148,216
1.3.18,5,0,0,0,0,0,0,1B2,1B,14C,122C,19D4,19D,B113A,R84A,1,NA,NA
1.3.19,3,0,0,0,0,0,0,21B3,21B,P62B,R85A,8D1,8D,378A,375A,1,NA,NA
1.3.2,5,3,3,1,33,71,0,8C1,8C,140B,122B,5A5,5A,P29D,P63G,1,133,216
1.3.20,5,2,2,1,3,6,0,10B1,10B,P38D,R81E,9D4,9D,P38C,R80H,1,148,222
1.3.21,5,1,1,0,0,0,1,21B3,21B,P62B,R85A,8D1,8D,378A,375A,1,183,NA
1.3.23,5,1,1,1,4,8,0,13E2,13E,R82K,Y123G,14B4,14B,P83I,P29I,1,173,222
1.3.24,5,1,0,0,0,0,0,7E1,7E,130C,129B,14A1,14A,Y125E,R83F,1,148,NA
1.3.25,5,1,1,1,29,0,0,8A1,8A,330A,139A,13C1,13C,331B,357B,1,148,216
1.3.26,5,1,1,1,6,0,1,19C1,19C,B112E,R83F,15D1,15D,R88H,B22C,1,148,208
1.3.27,5,1,1,0,0,0,0,13C2,13C,331B,357B,21B4,21B,P62B,R85A,1,173,NA
1.3.28,5,0,0,0,0,0,0,3C2,3C,P63K,R83F,12C1,12C,R85B,P71A,1,NA,NA
1.3.3,5,0,0,0,0,0,0,19D4,19D,B113A,R84A,10B1,10B,P38D,R81E,1,NA,NA
1.3.30,5,2,2,1,12,55,1,13B4,13B,P63B,Y123G,6D5,6D,B22B,P27F,1,148,216
1.3.31,5,0,0,0,0,0,0,8B1,8B,P31M,P63A,13A1,13A,P71D,P29I,1,NA,NA
1.3.32,5,0,0,0,0,0,0,7B3,7B,P64F,P29H,11D1,11D,140C,122C,1,NA,NA
1.3.33,5,1,0,0,0,0,0,20A3,20A,P83B,P62I,2A4,2A,P64B,B88B,1,148,NA
1.3.34,3,0,0,0,0,0,0,19D1,19D,B113A,R84A,8B2,8B,P31M,P63A,1,NA,NA
1.3.35,5,1,1,0,0,0,1,13C2,13C,331B,357B,21B3,21B,P62B,R85A,1,148,NA
1.3.36,5,0,0,0,0,0,0,13A2,13A,P71D,P29I,1B2,1B,14C,122C,1,NA,NA
1.3.37,5,0,0,0,0,0,0,17D2,17D,Y126C,Y124D,4C2,4C,P29C,R81E,1,NA,NA
1.3.38,5,0,0,0,0,0,0,12C1,12C,R85B,P71A,4A1,4A,P29E,B22C,1,NA,NA
1.3.39,5,0,0,0,0,0,0,6D1,6D,B22B,P27F,13B4,13B,P63B,Y123G,1,NA,NA
1.3.4,5,0,0,0,0,0,0,3D2,3D,P27D,B22C,9C1,9C,122B,140B,1,NA,NA
1.3.40,5,0,0,0,0,0,0,15D3,15D,R88H,B22C,7B1,7B,P64F,P29H,1,NA,NA
1.3.41,5,0,0,0,0,0,0,13E1,13E,R82K,Y123G,10C1,10C,P83E,B112F,1,NA,NA
1.3.42,5,2,1,1,7,9,0,10B1,10B,P38D,R81E,19D1,19D,B113A,R84A,1,148,208
1.3.43,5,1,1,1,4,0,0,11C2,11C,R880,B45H,13B6,13B,P63B,Y123G,1,148,208
1.3.44,5,3,3,1,12,42,0,13B6,13B,P63B,Y123G,6D4,6D,B22B,P27F,1,148,208
1.3.45,5,2,1,0,0,0,1,9C1,9C,122B,140B,3D2,3D,P27D,B22C,1,148,NA
1.3.46,5,0,0,0,0,0,0,16D3,16D,337A,120B,7A1,7A,P64D,B86B,1,NA,NA
1.3.47,5,0,0,0,0,0,0,19C1,19C,B112E,R83F,11D1,11D,140C,122C,1,NA,NA
1.3.48,5,0,0,0,0,0,0,18C3,18C,P64C,R83F,13E2,13E,R82K,Y123G,1,NA,NA
1.3.49,5,2,2,1,7,52,0,9D3,9D,P38C,R80H,18B2,18B,P62H,P71A,1,148,216
1.3.5,5,2,2,1,13,25,0,9D1,9D,P38C,R80H,18B1,18B,P62H,P71A,1,148,222
1.3.50,5,0,0,0,0,0,0,19D2,19D,B113A,R84A,14A2,14A,Y125E,R83F,1,NA,NA
1.3.51,5,0,0,0,0,0,0,21B2,21B,P62B,R85A,13C1,13C,331B,357B,1,NA,NA
1.3.52,5,0,0,0,0,0,0,11C1,11C,R880,B45H,13B6,13B,P63B,Y123G,1,NA,NA
1.3.53,5,0,0,0,0,0,0,8B1,8B,P31M,P63A,19D2,19D,B113A,R84A,1,NA,NA
1.3.54,5,0,0,0,0,0,0,11C1,11C,R880,B45H,21A1,21A,P63L,B51C,1,NA,NA
1.3.6,2,2,2,1,11,6,0,11C1,11C,R880,B45H,13B4,13B,P63B,Y123G,1,148,216
1.3.7,5,1,0,0,0,0,0,9E1,9E,P29J,P29A,11B1,11B,R84E,R81D,1,148,NA
1.3.8,5,0,0,0,0,0,0,19D2,19D,B113A,R84A,8B1,8B,P31M,P63A,1,NA,NA
1.3.9,5,0,0,0,0,0,0,13E1,13E,R82K,Y123G,18C1,18C,P64C,R83F,1,NA,NA
1.4.1,5,1,1,0,0,0,0,13C1,13C,331B,357B,8A1,8A,330A,139A,1,174,NA
1.4.10,5,0,0,0,0,0,0,16D2,16D,337A,120B,7A1,7A,P64D,B86B,1,NA,NA
1.4.11,5,2,2,1,5,0,1,16E1,16E,136A,356A,4A1,4A,P29E,B22C,1,153,222
1.4.12,5,2,1,0,0,0,1,21B2,21B,P62B,R85A,13C2,13C,331B,357B,1,153,NA
1.4.13,5,0,0,0,0,0,0,19D2,19D,B113A,R84A,10B1,10B,P38D,R81E,1,NA,NA
1.4.14,5,0,0,0,0,0,0,5A4,5A,P29D,P63G,9C1,9C,122B,140B,1,NA,NA
1.4.15,5,0,0,0,0,0,0,3C2,3C,P63K,R83F,16E1,16E,136A,356A,1,NA,NA
1.4.17,5,1,1,0,0,0,0,16E1,16E,136A,356A,5D3,5D,B88A,B110E,1,174,NA
1.4.18,5,2,2,1,4,11,0,13B3,13B,P63B,Y123G,16D4,16D,337A,120B,1,174,216
1.4.19,5,1,1,1,10,0,0,5A3,5A,P29D,P63G,13B1,13B,P63B,Y123G,1,153,216
1.4.2,5,2,2,1,11,18,0,8A2,8A,330A,139A,17E1,17E,R85I,R83F,1,174,216
1.4.20,5,0,0,0,0,0,0,12C1,12C,R85B,P71A,3C2,3C,P63K,R83F,1,NA,NA
1.4.21,5,0,0,0,0,0,0,13C2,13C,331B,357B,15C1,15C,P100D,B22C,1,NA,NA
1.4.23,5,0,0,0,0,0,0,6D5,6D,B22B,P27F,13B3,13B,P63B,Y123G,1,NA,NA
1.4.24,5,0,0,0,0,0,0,13C2,13C,331B,357B,15C1,15C,P100D,B22C,1,NA,NA
1.4.25,5,2,2,1,12,33,0,14A2,14A,Y125E,R83F,7E1,7E,130C,129B,1,194,222
1.4.26,5,0,0,0,0,0,0,16D4,16D,337A,120B,20A2,20A,P83B,P62I,1,NA,NA
1.4.27,5,1,1,1,2,0,0,19B1,19B,330A,337A,10B1,10B,P38D,R81E,1,153,NA
1.4.28,5,0,0,0,0,0,0,13C2,13C,331B,357B,8A2,8A,330A,139A,1,NA,NA
1.4.29,2,0,0,0,0,0,0,15A1,15A,B114C,B110E,2A1,2A,P64B,B88B,1,NA,NA
1.4.3,5,3,3,1,10,53,1,2A4,2A,P64B,B88B,7A1,7A,P64D,B86B,1,153,208
1.4.30,5,0,0,0,0,0,0,16D2,16D,337A,120B,5A5,5A,P29D,P63G,1,NA,NA
1.4.31,5,0,0,0,0,0,0,20E2,20E,R88B,B86B,10B3,10B,P38D,R81E,1,NA,NA
1.4.32,5,2,2,0,0,0,1,18C3,18C,P64C,R83F,7E2,7E,130C,129B,1,153,NA
1.4.33,5,1,1,0,0,0,1,12D1,12D,P62E,R80D,9C1,9C,122B,140B,1,153,NA
1.4.34,5,1,1,0,0,0,0,6D4,6D,B22B,P27F,13B6,13B,P63B,Y123G,1,153,NA
1.4.35,5,1,1,0,0,0,0,13E2,13E,R82K,Y123G,10C2,10C,P83E,B112F,1,153,NA
1.4.36,5,0,0,0,0,0,0,16E1,16E,136A,356A,3C1,3C,P63K,R83F,1,NA,NA
1.4.37,5,4,4,1,6,5,1,13B3,13B,P63B,Y123G,6D5,6D,B22B,P27F,1,153,222
1.4.38,5,0,0,0,0,0,0,7A3,7A,P64D,B86B,8C1,8C,140B,122B,1,NA,NA
1.4.39,5,0,0,0,0,0,0,4C2,4C,P29C,R81E,9A3,9A,R88G,P63J,1,NA,NA
1.4.4,5,1,0,0,0,0,0,15C1,15C,P100D,B22C,13C2,13C,331B,357B,1,153,NA
1.4.40,5,0,0,0,0,0,0,6D4,6D,B22B,P27F,13B4,13B,P63B,Y123G,1,NA,NA
1.4.41,5,0,0,0,0,0,0,13B4,13B,P63B,Y123G,5A4,5A,P29D,P63G,1,NA,NA
1.4.42,5,0,0,0,0,0,0,10B1,10B,P38D,R81E,5E1,5E,B86A,P63F,1,NA,NA
1.4.43,5,0,0,0,0,0,0,7B1,7B,P64F,P29H,15D1,15D,R88H,B22C,1,NA,NA
1.4.44,5,1,1,1,5,23,0,5A3,5A,P29D,P63G,9C1,9C,122B,140B,1,194,222
1.4.45,5,0,0,0,0,0,0,20A3,20A,P83B,P62I,2A5,2A,P64B,B88B,1,NA,NA
1.4.46,5,0,0,0,0,0,0,15D2,15D,R88H,B22C,7B2,7B,P64F,P29H,1,NA,NA
1.4.47,5,1,1,0,0,0,1,5A1,5A,P29D,P63G,13B2,13B,P63B,Y123G,1,153,NA
1.4.48,5,1,1,0,0,0,0,1D1,1D,P31C,P63A,9D1,9D,P38C,R80H,1,194,NA
1.4.5,2,1,1,1,12,84,0,8D1,8D,378A,375A,15C2,15C,P100D,B22C,1,174,208
1.4.50,5,1,0,0,0,0,0,19D1,19D,B113A,R84A,8B1,8B,P31M,P63A,1,153,NA
1.4.51,3,0,0,0,0,0,0,19D2,19D,B113A,R84A,10B3,10B,P38D,R81E,1,NA,NA
1.4.6,5,3,3,1,46,86,0,5A5,5A,P29D,P63G,2A4,2A,P64B,B88B,1,153,216
1.4.7,5,0,0,0,0,0,0,5D3,5D,B88A,B110E,16E1,16E,136A,356A,1,NA,NA
1.4.8,5,0,0,0,0,0,0,15D1,15D,R88H,B22C,11A3,11A,P83D,P71A,1,NA,NA
1.4.9,4,0,0,0,0,0,0,20E1,20E,R88B,B86B,1B2,1B,14C,122C,1,NA,NA
1.5.1,5,0,0,0,0,0,0,12C1,12C,R85B,P71A,5D2,5D,B88A,B110E,1,NA,NA
1.5.10,5,0,0,0,0,0,0,1B2,1B,14C,122C,20E2,20E,R88B,B86B,1,NA,NA
1.5.11,5,0,0,0,0,0,0,1D1,1D,P31C,P63A,7E1,7E,130C,129B,1,NA,NA
1.5.12,5,0,0,0,0,0,0,8B2,8B,P31M,P63A,13A1,13A,P71D,P29I,1,NA,NA
1.5.13,5,1,1,1,3,1,0,8B1,8B,P31M,P63A,13A2,13A,P71D,P29I,1,176,222
1.5.14,5,0,0,0,0,0,0,16C1,16C,331A,32A,2A1,2A,P64B,B88B,1,NA,NA
1.5.15,5,0,0,0,0,0,0,6D5,6D,B22B,P27F,13B6,13B,P63B,Y123G,1,NA,NA
1.5.16,5,0,0,0,0,0,0,14B1,14B,P83I,P29I,19B1,19B,330A,337A,1,NA,NA
1.5.17,5,1,1,1,17,0,0,7E1,7E,130C,129B,18B2,18B,P62H,P71A,1,162,216
1.5.18,5,0,0,0,0,0,0,5A6,5A,P29D,P63G,2A6,2A,P64B,B88B,1,NA,NA
1.5.19,5,0,0,0,0,0,0,8B1,8B,P31M,P63A,19D3,19D,B113A,R84A,1,NA,NA
1.5.2,5,0,0,0,0,0,0,7A1,7A,P64D,B86B,16D2,16D,337A,120B,1,NA,NA
1.5.20,5,0,0,0,0,0,0,18B4,18B,P62H,P71A,7E1,7E,130C,129B,1,NA,NA
1.5.21,5,0,0,0,0,0,0,19D3,19D,B113A,R84A,8B2,8B,P31M,P63A,1,NA,NA
1.5.22,5,0,0,0,0,0,0,13C1,13C,331B,357B,15C1,15C,P100D,B22C,1,NA,NA
1.5.23,5,0,0,0,0,0,0,19D2,19D,B113A,R84A,1B2,1B,14C,122C,1,NA,NA
1.5.24,5,1,1,0,0,0,0,9D3,9D,P38C,R80H,14A2,14A,Y125E,R83F,1,162,NA
1.5.25,1,0,0,0,0,0,0,13A2,13A,P71D,P29I,8B1,8B,P31M,P63A,1,NA,NA
1.5.26,5,0,0,0,0,0,0,13A1,13A,P71D,P29I,1B2,1B,14C,122C,1,NA,NA
1.5.27,5,0,0,0,0,0,0,16E1,16E,136A,356A,5D2,5D,B88A,B110E,1,NA,NA
1.5.28,5,0,0,0,0,0,0,11C2,11C,R880,B45H,13B3,13B,P63B,Y123G,1,NA,NA
1.5.29,5,0,0,0,0,0,0,2A2,2A,P64B,B88B,5A5,5A,P29D,P63G,1,NA,NA
1.5.3,5,0,0,0,0,0,0,13B2,13B,P63B,Y123G,3D2,3D,P27D,B22C,1,NA,NA
1.5.30,5,0,0,0,0,0,0,13E1,13E,R82K,Y123G,21B2,21B,P62B,R85A,1,NA,NA
1.5.31,5,0,0,0,0,0,0,7B3,7B,P64F,P29H,18D1,18D,Y127B,P29I,1,NA,NA
1.5.32,5,0,0,0,0,0,0,13B6,13B,P63B,Y123G,11C2,11C,R880,B45H,1,NA,NA
1.5.33,5,0,0,0,0,0,0,13A1,13A,P71D,P29I,10B1,10B,P38D,R81E,1,NA,NA
1.5.34,5,2,1,1,4,31,0,18B3,18B,P62H,P71A,9D2,9D,P38C,R80H,1,162,216
1.5.35,5,0,0,0,0,0,0,13B2,13B,P63B,Y123G,3D1,3D,P27D,B22C,1,NA,NA
1.5.36,5,0,0,0,0,0,0,19C2,19C,B112E,R83F,11D1,11D,140C,122C,1,NA,NA
1.5.37,5,0,0,0,0,0,0,14A1,14A,Y125E,R83F,7E2,7E,130C,129B,1,NA,NA
1.5.38,5,0,0,0,0,0,0,11B1,11B,R84E,R81D,7D1,7D,356A,140B,1,NA,NA
1.5.39,5,0,0,0,0,0,0,10B3,10B,P38D,R81E,20E2,20E,R88B,B86B,1,NA,NA
1.5.4,5,0,0,0,0,0,0,4A1,4A,P29E,B22C,12C1,12C,R85B,P71A,1,NA,NA
1.5.40,5,1,0,0,0,0,0,2A2,2A,P64B,B88B,15A1,15A,B114C,B110E,1,176,NA
1.5.41,5,0,0,0,0,0,0,16C3,16C,331A,32A,2A2,2A,P64B,B88B,1,NA,NA
1.5.42,5,0,0,0,0,0,0,9D3,9D,P38C,R80H,14A1,14A,Y125E,R83F,1,NA,NA
1.5.43,5,0,0,0,0,0,0,5A5,5A,P29D,P63G,8C1,8C,140B,122B,1,NA,NA
1.5.44,1,0,0,0,0,0,0,16C3,16C,331A,32A,1E1,1E,31A,11A,1,NA,NA
1.5.45,5,0,0,0,0,0,0,19D4,19D,B113A,R84A,8B1,8B,P31M,P63A,1,NA,NA
1.5.46,5,0,0,0,0,0,0,13A1,13A,P71D,P29I,8B1,8B,P31M,P63A,1,NA,NA
1.5.47,5,0,0,0,0,0,0,14B2,14B,P83I,P29I,13E2,13E,R82K,Y123G,1,NA,NA
1.5.48,5,0,0,0,0,0,0,16C2,16C,331A,32A,16C2,16C,331A,32A,1,NA,NA
1.5.49,5,1,1,0,0,0,0,11C2,11C,R880,B45H,21A1,21A,P63L,B51C,1,176,NA
1.5.5,5,0,0,0,0,0,0,15C2,15C,P100D,B22C,19C1,19C,B112E,R83F,1,NA,NA
1.5.50,5,0,0,0,0,0,0,13C1,13C,331B,357B,8A2,8A,330A,139A,1,NA,NA
1.5.51,5,0,0,0,0,0,0,13C1,13C,331B,357B,21B2,21B,P62B,R85A,1,NA,NA
1.5.6,5,0,0,0,0,0,0,14B2,14B,P83I,P29I,13E1,13E,R82K,Y123G,1,NA,NA
1.5.7,5,0,0,0,0,0,0,19D3,19D,B113A,R84A,1B2,1B,14C,122C,1,NA,NA
1.5.8,5,0,0,0,0,0,0,16E1,16E,136A,356A,4A2,4A,P29E,B22C,1,NA,NA
1.5.9,5,1,1,1,2,0,0,11D1,11D,140C,122C,7B1,7B,P64F,P29H,1,176,222
1.6.1,5,1,1,0,0,0,1,7E1,7E,130C,129B,16D3,16D,337A,120B,1,162,NA
1.6.10,4,1,1,0,0,0,0,17E1,17E,R85I,R83F,15D1,15D,R88H,B22C,1,162,NA
1.6.11,5,1,0,0,0,0,0,4A2,4A,P29E,B22C,20B1,20B,P62K,P38H,1,162,NA
1.6.12,5,0,0,0,0,0,0,3D2,3D,P27D,B22C,13B2,13B,P63B,Y123G,1,NA,NA
1.6.13,5,0,0,0,0,0,0,13E2,13E,R82K,Y123G,14B1,14B,P83I,P29I,1,NA,NA
1.6.14,5,0,0,0,0,0,0,14A1,14A,Y125E,R83F,7E1,7E,130C,129B,1,NA,NA
1.6.15,5,1,0,0,0,0,0,10B1,10B,P38D,R81E,20E2,20E,R88B,B86B,1,162,NA
1.6.16,5,0,0,0,0,0,0,16D3,16D,337A,120B,20A2,20A,P83B,P62I,1,NA,NA
1.6.17,5,0,0,0,0,0,0,IB2,1B,14C,122C,13A2,13A,P71D,P29I,1,NA,NA
1.6.18,5,0,0,0,0,0,0,2A4,2A,P64B,B88B,20A3,20A,P83B,P62I,1,NA,NA
1.6.19,5,0,0,0,0,0,0,9D3,9D,P38C,R80H,18B4,18B,P62H,P71A,1,NA,NA
1.6.2,5,0,0,0,0,0,0,1B2,1B,14C,122C,19D3,19D,B113A,R84A,1,NA,NA
1.6.20,5,2,2,1,6,19,1,13B1,13B,P63B,Y123G,3D1,3D,P27D,B22C,1,162,243
1.6.21,5,0,0,0,0,0,0,11D1,11D,140C,122C,19C2,19C,B112E,R83F,1,NA,NA
