Month,T_Max,T_Min,T_Mean
January,-4.20,-13.90,-9.10
February,-1.50,-11.40,-6.50
March,5.20,-4.70,0.20
April,14.60,2.30,8.50
May,21.50,8.90,15.20
June,26.60,14.40,20.50
July,29.10,17.00,23.00
August,27.60,16.10,21.80
September,22.90,10.70,16.80
October,15.40,3.80,9.60
November,5.60,-3.50,1.10
December,-2.40,-11.30,-6.90
Annual,13.40,2.40,7.90
