Loc,ID,Pat,Mat,Block,Initial,Germ,Pods,NumPods,NumSeeds,EarliestGerm,EarliestFlowPod,CrossType
6.3.3,CU,P63G,P29D,6,5,3,3,25,0,132,202,Nes
6.3.4,CG,P63F,B86A,6,3,1,0,0,0,132,NA,Nes
6.3.5,XZ,misc,misc,6,5,0,0,0,0,NA,NA,Mis
6.4.1,FN,120B,337A,6,5,0,0,0,0,167,NA,Fac
6.4.2,GI,122D,140D,6,5,0,0,0,0,167,NA,Fac
6.4.3,XZ,misc,misc,6,5,0,0,0,0,NA,NA,Mis
6.4.4,CS,P63A,P31M,6,5,1,0,0,0,167,NA,Nes
6.4.5,CF,P29H,P64F,6,3,0,0,0,0,167,NA,Nes
6.5.1,XZ,misc,misc,6,5,2,0,0,0,132,NA,Mis
6.5.2,CJ,P71A,P83D,6,2,1,0,0,0,132,NA,Nes
6.5.3,CV,P63A,P31C,6,5,3,3,27,19,132,209,Nes
6.5.4,CH,R81E,P38D,6,5,3,2,9,4,132,209,Nes
6.5.5,CQ,P62I,P63H,6,5,2,1,9,12,132,209,Nes
6.6.1,CR,R80H,P38C,6,5,5,3,23,35,132,209,Nes
6.6.2,GK,331A,32A,6,4,1,1,8,6,132,209,Fac
6.6.3,CM,B22C,P29G,6,5,4,3,32,3,132,202,Nes
6.6.4,CI,B110E,P64D,6,5,1,1,9,0,132,202,Nes
6.6.5,CW,B88B,P64B,6,5,5,2,13,4,132,209,Nes
6.7.1,CN,B86B,R88B,6,5,0,0,0,0,NA,NA,Nes
6.7.2,GK,331A,32A,6,5,0,0,0,0,NA,NA,Fac
6.7.3,CS,P63A,P31M,6,5,3,0,0,0,132,216,Nes
6.7.4,GR,R80H,P71B,6,5,0,0,0,0,NA,NA,Nes
6.7.5,SS,NA,NA,6,0,0,0,0,0,NA,NA,NA
7.1.1,CT,P27F,B22B,7,5,0,0,0,0,NA,NA,Nes
7.1.2,XZ,misc,misc,7,4,1,1,16,32,132,202,Mis
7.1.3,CV,P63A,P31C,7,5,4,3,9,7,132,216,Nes
7.1.4,CM,B22C,P29G,7,1,0,0,0,0,NA,NA,Nes
7.1.5,CA,R85A,P62B,7,1,1,1,4,0,132,209,Nes
7.2.1,XZ,misc,misc,7,4,1,0,0,0,132,NA,Mis
7.2.2,CV,P63A,P31C,7,5,3,2,19,11,132,209,Nes
7.2.3,CU,P63G,P29D,7,4,2,2,26,13,132,209,Nes
7.2.4,CR,R80H,P38C,7,5,5,5,106,45,132,202,Nes
7.2.5,GI,122D,140D,7,1,0,0,0,0,NA,NA,Fac
7.3.1,GI,122D,140D,7,5,0,0,0,0,NA,NA,Fac
7.3.2,GR,R80H,P71B,7,5,0,0,0,0,NA,NA,Nes
7.3.3,CR,R80H,P38C,7,4,4,4,68,39,132,202,Nes
7.3.4,CP,R84A,B113A,7,5,0,0,0,0,NA,NA,Nes
7.3.5,CM,B22C,P29G,7,4,3,1,8,7,132,202,Nes
7.4.1,CB,R83F,P64C,7,5,2,2,48,11,132,209,Nes
7.4.2,AJ,P63F,P27G,7,2,1,1,6,7,139,209,Nes
7.4.3,CK,Y123G,P63B,7,5,2,2,39,12,132,202,Nes
7.4.4,CU,P63G,P29D,7,5,3,3,21,7,132,209,Nes
7.4.5,CQ,P62I,P63H,7,5,1,1,1,4,153,230,Nes
7.5.1,CS,P63A,P31M,7,5,1,1,3,0,132,209,Nes
7.5.2,GK,331A,32A,7,5,0,0,0,0,146,NA,Fac
7.5.3,CR,R80H,P38C,7,5,0,0,0,0,146,NA,Nes
7.5.4,CL,P62I,P83B,7,5,5,4,75,6,132,216,Nes
7.5.5,CS,P63A,P31M,7,4,0,0,0,0,NA,NA,Nes
7.6.1,CJ,P71A,P83D,7,5,1,1,1,0,132,230,Nes
7.6.2,CN,B86B,R88B,7,5,1,0,0,0,132,209,Nes
7.6.3,CW,B88B,P64B,7,5,2,2,17,39,132,209,Nes
